上证指数,000001
Ａ股指数,000002
Ｂ股指数,000003
工业指数,000004
商业指数,000005
地产指数,000006
公用指数,000007
综合指数,000008
基金指数,000011
上证180,000010
国债指数,000012
企债指数,000013
上证50,000016
红利指数,000015
新综指,000017
180金融,000018
治理指数,000019
中型综指,000020
180治理,000021
沪公司债,000022
180基建,000025
180资源,000026
180运输,000027
180成长,000028
180价值,000029
180R成长,000030
180R价值,000031
上证能源,000032
上证材料,000033
上证工业,000034
上证可选,000035
上证消费,000036
上证医药,000037
上证金融,000038
上证信息,000039
上证电信,000040
上证公用,000041
上证央企,000042
超大盘,000043
上证中盘,000044
上证小盘,000045
上证中小,000046
上证全指,000047
责任指数,000048
上证民企,000049
上证海外,000054
上证地企,000055
上证国企,000056
全指成长,000057
全指价值,000058
全R成长,000059
全R价值,000060
沪企债30,000061
上证沪企,000062
上证周期,000063
非周期,000064
上证龙头,000065
上证商品,000066
上证新兴,000067
上证资源,000068
消费80,000069
能源等权,000070
材料等权,000071
工业等权,000072
可选等权,000073
消费等权,000074
医药等权,000075
金融等权,000076
信息等权,000077
电信等权,000078
公用等权,000079
上证380,000009
上证流通,000090
50等权,000050
沪财中小,000091
资源50,000092
上证上游,000094
上证中游,000095
上证下游,000096
180等权,000051
180分层,000093
高端装备,000097
沪投资品,000102
沪消费品,000103
380能源,000104
380材料,000105
380工业,000106
380可选,000107
380消费,000108
380医药,000109
380金融,000110
380信息,000111
380电信,000112
380公用,000113
上证F200,000098
上证F300,000099
上证F500,000100
380等权,000115
持续产业,000114
380成长,000117
380价值,000118
380R成长,000119
380R价值,000120
医药主题,000121
农业主题,000122
消费50,000126
50基本,000052
180基本,000053
380基本,000128
180波动,000129
380波动,000130
上证高新,000131
上证100,000132
上证150,000133
上证银行,000134
优势资源,000145
优势制造,000146
优势消费,000147
消费领先,000148
180能源,H50001
180材料,H50002
180工业,H50003
180可选,H50004
180消费,H50005
180医药,H50006
180金地,H50007
180信息,H50008
180电信,H50009
180公用,H50010
180红利,000149
380红利,000150
上国红利,000151
上央红利,000152
上民红利,000153
市值百强,000155
180高贝,000135
180低贝,000136
380高贝,000137
380低贝,000138
上证转债,000139
5年国债,000140
上证环保,000158
沪环渤海,H50011
沪长三角,H50012
沪珠三角,H50013
沪中部,H50014
沪西部,H50015
沪东北,H50016
沪信息业,H50017
180动态,000123
180稳定,000125
380动态,000141
380稳定,000142
信用100,000116
10年国债,H11077
上证文化,H50018
上红回报,H50019
5年信用,000101
HGSZ AAA,H11080
HGSZ AA+,H11081
HGSZ AA,H11082
HGSZ 1-3,H11083
HGSZ 3-5,H11084
HGSZ 5-7,H11085
HGSZ7-10,H11086
上红潜力,H50020
沪能源红,H50021
沪材料红,H50022
沪工业红,H50023
沪可选红,H50024
沪消费红,H50025
沪医药红,H50026
沪金融红,H50027
沪信息红,H50028
沪电信红,H50029
沪公用红,H50030
沪跨市中期中高债,H11095
沪绿色城,H50031
沪城交通,H50032
沪城消费,H50033
沪城基建,H50034
沪智交通,H50035
上证城镇,H50037
沪智慧城,H50038
沪城投债,H11098
上证TMT,H50039
上证军工,H50036
上红低波,H50040
上红价值,H50042
上证养老,H50043
上证健康,H50044
180两倍,H50045
180反向,H50046
180反两,H50047
50波控1,H50048
50波控2,H50049
180波控1,H50050
180波控2,H50051
上证移动,H50053
沪质城投,H11018
上证休闲,H50054
沪大农业,H50055
沪智家居,H50056
180股息点,H50059
50股息点,H50060
上证RP,H50041
上国改革,H50052
50美元对冲,H50061
180美元对冲,H50062
380美元对冲,H50063
180动量,H50057
380动量,H50058
沪股通,000159
沪港AH溢价,H50066
上红波控1,H50064
上红波控2,H50065
港股通,H50069
180ERC,H50067
380ERC,H50068
上证基建,950071
沪互联网,950073
沪互金融,950074
50两倍,950076
50反向,950077
50反两,950078
沪新丝路,000160
沪信安全,950072
沪现代农,950075
上证混改,950079
中小企改,950080
上海改革,950082
180碳效,950081
沪物联网,950085
沪中国造,000161
沪互联+,000162
沪自贸区,950086
上证海洋,950087
沪轻资产,950088
上证电子,950089
上证50优选,950090
上证180优选,950092
上证增持,950094
上证定增,950095
沪供给侧,950097
180SNLV,950098
380SNLV,950099
上高股息,950100
沪智能造,950101
上证周期债,950102
上证证券,950105
上证创新,950106
380创新,950107
上证10年地债,950109
上证超长国债,950110
新兴成指,000171
沪质中高债3-5,950113
上证绿色债,950117
上证绿色公司债,950118
上证汽车,950070
上证转债及可交换债,950120
上证可交换债,950119
上证5年期地债,950045
上证3年期地债,950046
上证1-5年地债,950047
沪红利配置,950050
上证投资级转债及可交换债,950041
